FxCycle,H3K9ac,Caspase3,H3K14ac,phH3_S10,PAX6,H3K27ac,H3K4me3,Total H3,clusterid
3.9134,4.7149,-0.047956,0.42946,-0.046921,2.5525,4.3061,5.0842,1.9575,NPC/G0_G1/H3
4.2496,4.6745,-0.25308,0.093651,0.16728,3.0302,3.6485,4.7935,1.6195,NPC/G0_G1/H3
4.122,4.0661,-0.61602,0.24466,0.55937,2.6531,3.4338,4.9578,1.34,NPC/G0_G1/H3
4.3586,4.6794,-0.25016,0.21217,0.20373,2.3991,3.8535,4.9076,0.99181,NPC/G0_G1/H3
3.8271,5.7489,-0.082716,0.50688,0.23228,2.7321,5.2617,5.2989,1.8324,NPC/G0_G1/H3
3.6878,4.2564,-0.21522,0.28941,0.30798,1.8874,2.9451,4.7081,1.506,NPC/G0_G1/H3
4.2302,4.4728,0.93569,0.72807,0.41904,2.9429,3.555,4.953,1.7001,NPC/G0_G1/H3
4.1866,4.5299,0.20205,0.33392,-0.10474,2.6174,4.4759,5.2979,2.0305,NPC/G0_G1/H3
4.2701,4.4508,0.13285,0.25221,-0.19474,2.7275,4.2533,5.1576,1.4437,NPC/G0_G1/H3
4.1742,4.7867,-0.35835,0.20189,0.084918,2.8456,4.2903,5.1114,2.3503,NPC/G0_G1/H3
4.0435,4.6462,-0.23204,0.13984,0.48748,3.0286,4.6614,5.2547,2.5697,NPC/G0_G1/H3
4.3833,4.4639,-0.28894,0.22141,0.02904,2.2007,3.7959,5.0907,1.9834,NPC/G0_G1/H3
4.1548,4.3222,-0.52393,0.20667,0.31693,2.4765,3.573,4.8572,1.4184,NPC/G0_G1/H3
4.0692,4.2059,2.1606,0.47523,0.20376,2.158,3.691,4.9704,1.63,NPC/G0_G1/H3
4.3655,4.2797,-0.20592,0.10967,0.47277,2.5485,3.779,5.1349,1.815,NPC/G0_G1/H3
4.0167,4.7541,-0.45136,0.62421,0.27347,1.9093,4.0869,5.2114,1.3962,NPC/G0_G1/H3
4.4282,4.097,-0.56153,0.26454,0.12175,2.5153,3.2761,5.0867,1.5373,NPC/G0_G1/H3
4.2838,4.5711,0.072661,0.39366,0.11517,3.2715,4.6658,5.3768,2.07,NPC/G0_G1/H3
4.2018,5.0832,-0.37097,0.11844,0.34545,3.3797,5.0652,5.1214,1.5777,NPC/G0_G1/H3
3.767,4.0512,-0.054491,0.35519,0.16704,2.4,3.1466,4.7899,0.89884,NPC/G0_G1/H3
4.3316,4.2066,-0.45768,0.25086,0.12702,1.9296,3.3971,4.8921,1.1552,NPC/G0_G1/H3
4.4377,4.5532,-0.20127,0.18189,0.04063,2.3283,3.648,4.8133,1.3615,NPC/G0_G1/H3
4.2769,4.9263,-0.71566,0.39122,0.44467,3.2646,4.0574,5.4455,2.0403,NPC/G0_G1/H3
4.2767,4.6419,-0.011008,0.31883,-0.11468,1.6767,4.2672,5.0631,1.5697,NPC/G0_G1/H3
4.4,4.8533,-0.018193,0.41564,0.0063986,2.8597,4.3814,5.0233,1.3351,NPC/G0_G1/H3
4.3389,4.5544,-0.31953,0.17204,0.084946,2.1735,3.0989,4.7613,0.72292,NPC/G0_G1/H3
4.1078,4.6271,-0.5301,0.46222,0.090899,2.2608,3.866,4.9513,1.7047,NPC/G0_G1/H3
4.242,4.4027,0.27562,0.42587,0.10114,2.3193,3.3714,5.025,1.8332,NPC/G0_G1/H3
4.2055,4.4548,-0.39362,0.23049,0.23903,2.4141,4.1026,5.0722,1.5462,NPC/G0_G1/H3
4.3906,4.4277,-0.3401,0.31872,0.10469,2.9155,4.2265,5.0472,2.1381,NPC/G0_G1/H3
3.7514,4.7619,-0.71305,0.28584,0.5096,3.5325,4.2478,5.0961,2.3537,NPC/G0_G1/H3
4.4211,4.3812,0.5675,0.32786,0.051412,1.8954,3.3977,5.0297,1.8107,NPC/G0_G1/H3
3.7707,4.5664,-0.068081,0.29402,0.13276,2.1995,3.0431,4.5149,0.90499,NPC/G0_G1/H3
4.4397,4.3915,-0.21365,0.25296,-0.18291,2.8794,3.9781,4.9274,1.1947,NPC/G0_G1/H3
4.4218,4.2392,1.4855,0.1064,0.024149,2.6118,3.0128,4.8504,1.3221,NPC/G0_G1/H3
4.1379,4.4244,-0.010315,0.31731,0.32001,2.2549,2.8305,4.8962,1.4361,NPC/G0_G1/H3
