event,H3K9ac,LD,Total H3,gate,treatment
5453,1.3908,0.41942,1.8845,H3 Total,SAHA 05 um
5454,2.4225,0.62211,3.402,H3 Total,SAHA 05 um
5455,1.8568,0.64807,1.4042,H3 Total,SAHA 05 um
5456,2.5422,1.022,1.359,H3 Total,SAHA 05 um
5458,2.459,0.40096,1.4321,H3 Total,SAHA 05 um
5459,3.2422,0.84963,1.559,H3 Total,SAHA 05 um
5460,1.1775,0.64919,3.1722,H3 Total,SAHA 05 um
5463,2.8824,1.428,2.6214,H3 Total,SAHA 05 um
5464,3.4687,0.3287,0.90885,H3Kac,SAHA 05 um
5465,2.9662,0.3484,0.76735,H3Kac,SAHA 05 um
5466,2.2192,0.37274,0.83524,H3Kac,SAHA 05 um
5468,1.3004,0.90935,2.719,H3 Total,SAHA 05 um
5469,2.0539,1.0178,0.97261,H3Kac,SAHA 05 um
5471,1.874,1.7088,0.3026,H3Kac,SAHA 05 um
5472,2.3209,1.8227,0.73501,H3Kac,SAHA 05 um
5473,1.5565,0.72294,1.9955,H3 Total,SAHA 05 um
5475,1.83,0.52913,2.1519,H3 Total,SAHA 05 um
5478,2.4968,0.60939,1.1731,H3 Total,SAHA 05 um
5479,0.8591,0.50475,1.2278,H3 Total,SAHA 05 um
5480,0.64272,0.6049,0.93129,H3Kac,SAHA 05 um
5481,2.4323,0.42593,2.1519,H3 Total,SAHA 05 um
5483,1.1209,0.35462,1.2541,H3 Total,SAHA 05 um
5485,1.8222,0.41102,0.90117,H3Kac,SAHA 05 um
5487,3.2701,0.53598,2.0657,H3 Total,SAHA 05 um
5488,2.651,0.76962,2.897,H3 Total,SAHA 05 um
5492,2.1191,0.61754,1.2254,H3 Total,SAHA 05 um
5493,1.4416,0.69263,1.243,H3 Total,SAHA 05 um
5494,2.3431,0.47415,2.3499,H3 Total,SAHA 05 um
5495,2.1752,0.52323,1.887,H3 Total,SAHA 05 um
5496,2.2727,0.42576,1.8966,H3 Total,SAHA 05 um
5497,1.7086,0.60939,3.34,H3 Total,SAHA 05 um
5499,2.1779,0.70246,2.4804,H3 Total,SAHA 05 um
5501,0.74224,0.31885,1.4753,H3 Total,SAHA 05 um
5502,1.3382,1.662,2.2607,H3 Total,SAHA 05 um
5504,1.6689,0.48785,0.96914,H3Kac,SAHA 05 um
5505,3.3851,0.43747,2.908,H3 Total,SAHA 05 um
5510,2.7433,0.47789,1.2987,H3 Total,SAHA 05 um
5511,1.529,1.1229,0.56075,H3Kac,SAHA 05 um
5512,2.2956,1.4862,2.39,H3 Total,SAHA 05 um
5513,2.1371,0.55201,3.1512,H3 Total,SAHA 05 um
5515,1.003,0.56261,0.87561,H3Kac,SAHA 05 um
5516,1.8057,0.46767,1.3841,H3 Total,SAHA 05 um
5517,1.3824,0.5026,2.5,H3 Total,SAHA 05 um
5518,1.3996,0.27843,0.87709,H3Kac,SAHA 05 um
5519,2.8119,0.52047,0.82006,H3Kac,SAHA 05 um
5520,2.8002,1.9625,1.5626,H3 Total,SAHA 05 um
5522,1.9161,0.64104,1.7895,H3 Total,SAHA 05 um
5523,1.9973,1.6002,1.918,H3 Total,SAHA 05 um
5525,1.4163,0.58763,1.8143,H3 Total,SAHA 05 um
5526,3.4412,1.7658,2.2281,H3 Total,SAHA 05 um
5527,3.1222,0.50025,0.84992,H3Kac,SAHA 05 um
5528,2.5836,0.51946,1.3238,H3 Total,SAHA 05 um
5529,2.2741,0.36915,2.7319,H3 Total,SAHA 05 um
5530,0.57512,0.99723,0.98117,H3Kac,SAHA 05 um
5531,1.5695,1.705,1.4123,H3 Total,SAHA 05 um
5532,2.8851,1.5863,1.6615,H3 Total,SAHA 05 um
5533,2.4997,0.88076,0.88394,H3Kac,SAHA 05 um
5534,1.6319,0.51599,0.90087,H3Kac,SAHA 05 um
5535,1.9539,0.38976,1.099,H3 Total,SAHA 05 um
5536,3.3958,0.61108,1.0287,H3 Total,SAHA 05 um
5537,2.921,1.49,2.6833,H3 Total,SAHA 05 um
5538,1.5501,0.72799,0.87353,H3Kac,SAHA 05 um
5539,0.052114,1.4681,2.1034,H3 Total,SAHA 05 um
5540,2.7163,0.52101,3.2919,H3 Total,SAHA 05 um
5543,2.8613,0.62234,0.90399,H3Kac,SAHA 05 um
5544,2.6325,0.34699,2.423,H3 Total,SAHA 05 um
5548,2.0948,1.7597,1.7074,H3 Total,SAHA 05 um
5549,2.5378,1.5717,1.8084,H3 Total,SAHA 05 um
5550,1.7052,0.41559,1.2406,H3 Total,SAHA 05 um
5551,2.8863,1.3098,2.3392,H3 Total,SAHA 05 um
5552,2.9449,1.9991,2.992,H3 Total,SAHA 05 um
5553,2.6564,0.37727,1.8224,H3 Total,SAHA 05 um
5554,2.5284,1.4801,1.2906,H3 Total,SAHA 05 um
5555,2.9481,1.614,1.7866,H3 Total,SAHA 05 um
